id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1433462;Ignis;Argican;70;F;new;Common;% Damage to Grineer;% Multishot;;% Damage
riven_1431288;Ignis;Zeti-cronido;75;F;> 1 day;Common;% Fire Rate;% Weapon Recoil;% Cold;
riven_1429920;Ignis;Deci-heramag;80;F;> 1 day;Common;% Status Duration;% Zoom;% Weapon Recoil;
riven_1431050;Ignis;Hexatox;80;F;> 1 day;Common;Toxin;% Status Chance;;% Multishot
riven_1428253;Ignis;Croni-armatis;100;D;> 1 day;Common;% Fire Rate;% Critical Damage;% Magazine Capacity;% Reload Speed
riven_1430156;Ignis;Lexicron;100;C-;> 1 day;Common;Punch Through;% Critical Chance;;
riven_1433027;Ignis;Acritio;100;D;new;Common;% Critical Damage;% Electricity;;% Multishot
riven_1425757;Ignis;Ignitis;129;C;> 1 day;Common;% Critical Damage;% Heat;;% Weapon Recoil
riven_1427978;Ignis;Ignitin;140;F;> 1 day;Common;% Heat;% Magazine Capacity;;
riven_1433445;Ignis;Pura-critatis;149;C;new;Common;% Damage to Infested;% Critical Damage;% Critical Chance;
riven_1424917;Ignis;Critadex;150;B-;> 1 day;Common;% Status Chance;% Critical Chance;;% Damage to Corpus
riven_1430064;Ignis;Lexi-toxican;150;D;> 1 day;Common;Punch Through;% Multishot;Toxin;
riven_1432262;Ignis;Acri-critatak;170;C;new;Common;% Critical Damage;% Reload Speed;% Critical Chance;% Fire Rate
riven_1424899;Ignis;Zeti-critaata;175;B-;> 1 day;Common;% Damage;% Critical Chance;% Weapon Recoil;% Magazine Capacity
riven_1425508;Ignis;Visi-cronicron;180;B-;> 1 day;Common;% Critical Chance;% Damage;% Fire Rate;
riven_1428154;Ignis;Acrican;180;C+;> 1 day;Common;% Critical Damage;% Multishot;;
riven_1430621;Ignis;Argi-cronitak;180;F;> 1 day;Common;% Damage to Grineer;% Reload Speed;% Fire Rate;% Critical Damage
riven_1430682;Ignis;Ampi-zeticon;180;F;> 1 day;Common;% Weapon Recoil;% Ammo Maximum;% Damage to Grineer;
riven_1428061;Ignis;Visi-satimag;200;C;> 1 day;Common;% Damage;% Multishot;% Weapon Recoil;
riven_1426926;Ignis;Toxi-igniata;210;C;> 1 day;Common;Toxin;% Damage;% Heat;% Zoom
riven_1423738;Ignis;Toxi-critacan;270;C+;> 1 day;Common;Toxin;% Critical Chance;% Multishot;
riven_1424018;Ignis;Zeti-saticron;280;C;> 1 day;Common;% Weapon Recoil;% Critical Chance;% Multishot;
riven_1423762;Ignis;Deci-saticron;300;C+;> 1 day;Common;% Critical Chance;% Multishot;% Status Duration;% Damage to Corpus
riven_1425518;Ignis;Igni-visican;300;C+;> 1 day;Common;% Heat;% Damage;% Multishot;
riven_1431588;Ignis;Crita-lexican;325;C;> 1 day;Common;Punch Through;% Multishot;% Critical Chance;
riven_1430414;Ignis;Igni-acricron;350;C+;> 1 day;Common;% Critical Damage;% Critical Chance;% Heat;
riven_1431190;Ignis;Critaata;399;A;> 1 day;Common;% Damage;% Critical Chance;;% Reload Speed
riven_1433431;Ignis;Visitis;399;B;new;Common;% Damage;% Critical Damage;;% Damage to Infested
riven_1433434;Ignis;Sati-critadra;399;C+;new;Common;% Multishot;% Fire Rate;% Critical Chance;
riven_1431100;Ignis;Lexi-critatis;400;C;> 1 day;Common;% Critical Chance;% Critical Damage;Punch Through;
riven_1429116;Ignis;Ampi-gelicron;500;C-;> 1 day;Common;% Critical Chance;% Cold;% Ammo Maximum;% Reload Speed
riven_1429478;Ignis;Acricron;500;B-;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1432272;Ignis;Critacan;700;A-;new;Common;% Critical Chance;% Multishot;;% Reload Speed
riven_1428554;Ignis;Crita-satiata;750;B+;> 1 day;Common;% Multishot;% Damage;% Critical Chance;
riven_1429552;Ignis;Lexi-critaata;800;B+;> 1 day;Common;% Critical Chance;% Damage;Punch Through;% Weapon Recoil
riven_1427427;Ignis;Critatis;1200;B+;> 1 day;Common;% Critical Chance;% Critical Damage;;% Zoom
riven_1427737;Ignis;Sati-acriata;1250;A;> 1 day;Common;% Damage;% Critical Damage;% Multishot;% Weapon Recoil
riven_1430456;Ignis;Acri-critaata;1750;B;> 1 day;Common;% Damage;% Critical Damage;% Critical Chance;% Ammo Maximum
riven_1427185;Ignis;Crita-satiata;1850;B+;> 1 day;Common;% Critical Chance;% Multishot;% Damage;
riven_1431379;Ignis;Acri-critatio;2000;B-;> 1 day;Common;% Electricity;% Critical Damage;% Critical Chance;% Status Duration
riven_1428388;Ignis;Crita-visitis;2400;A-;> 1 day;Common;% Critical Damage;% Damage;% Critical Chance;% Damage to Corpus

