id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1424623;Kronen;Visitox;500;F;> 1 day;Very Common;% Damage;Toxin;;
riven_1432891;Kronen;Scitox;500;F;new;Very Common;% Slash;Toxin;;
riven_1432378;Kronen;Argi-fortitis;585;D;new;Very Common;% Critical Damage;% Melee Combo Efficiency;% Damage to Grineer;% Finisher Damage
riven_1433166;Kronen;Sci-lacidra;599;F;new;Very Common;% Additional Combo Count Chance;% Slash;% Attack Speed;% Critical Chance
riven_1426619;Kronen;Visi-acrinent;600;F;> 1 day;Very Common;% Critical Damage;% Critical Chance for Slide Attack;% Damage;
riven_1426996;Kronen;Vexi-visicron;600;D;> 1 day;Very Common;% Critical Chance;% Damage;% Electricity;
riven_1432037;Kronen;Vexitor;600;D;> 1 day;Very Common;Range;% Electricity;;% Finisher Damage
riven_1430021;Kronen;Gelicron;650;C+;> 1 day;Very Common;% Cold;% Critical Chance;;% Damage to Corpus
riven_1427367;Kronen;Visi-loctipha;700;F;> 1 day;Very Common;% Heat;Range;% Damage;
riven_1427373;Kronen;Croniata;700;F;> 1 day;Very Common;% Damage;% Attack Speed;;% Status Duration
riven_1428106;Kronen;Geli-cronidex;700;D;> 1 day;Very Common;% Attack Speed;% Cold;% Status Chance;% Melee Combo Efficiency
riven_1428694;Kronen;Tempitor;700;D;> 1 day;Very Common;Combo Duration;Range;;% Melee Combo Efficiency
riven_1431009;Kronen;Para-vexidra;700;D;> 1 day;Very Common;% Electricity;Initial Combo;% Attack Speed;% Finisher Damage
riven_1430794;Kronen;Acri-visidex;750;F;> 1 day;Very Common;% Status Chance;% Damage;% Critical Damage;
riven_1424749;Kronen;Visicron;800;C;> 1 day;Very Common;% Critical Chance;% Damage;;% Damage to Corpus
riven_1425978;Kronen;Locti-critatox;800;C-;> 1 day;Very Common;% Critical Chance;Range;Toxin;Combo Duration
riven_1426292;Kronen;Crita-locticon;800;D;> 1 day;Very Common;% Damage to Grineer;% Critical Chance;Range;
riven_1427529;Kronen;Critaata;800;D;> 1 day;Very Common;% Critical Chance;% Damage;;
riven_1430430;Kronen;Critatio;800;D;> 1 day;Very Common;% Critical Chance;% Electricity;;% Attack Speed
riven_1431013;Kronen;Geli-visidra;800;F;> 1 day;Very Common;% Damage;% Attack Speed;% Cold;
riven_1431569;Kronen;Acrido;800;D;> 1 day;Very Common;% Cold;% Critical Damage;;
riven_1432803;Kronen;Visi-hexator;800;F;new;Very Common;% Status Chance;Range;% Damage;
