id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1431631;Kuva Bramma;Heradra;800;F;> 1 day;Very Common;% Zoom;% Fire Rate;;% Damage to Grineer
riven_1432190;Kuva Bramma;Acri-ignicon;800;D;new;Very Common;% Damage to Grineer;% Heat;% Critical Damage;% Reload Speed
riven_1433128;Kuva Bramma;Concido;845;F;new;Very Common;% Projectile Speed;% Cold;;% Zoom
riven_1432334;Kuva Bramma;Argi-decidex;850;F;new;Very Common;% Status Duration;% Damage to Grineer;% Status Chance;
riven_1426681;Kuva Bramma;Acridex;900;C-;> 1 day;Very Common;% Critical Damage;% Status Chance;;
riven_1429073;Kuva Bramma;Crita-herado;900;D;> 1 day;Very Common;% Zoom;% Cold;% Critical Chance;% Damage to Infested
riven_1427259;Kuva Bramma;Cronicron;950;C+;> 1 day;Very Common;% Fire Rate;% Critical Chance;;% Damage to Corpus
riven_1430006;Kuva Bramma;Acrican;950;B;> 1 day;Very Common;% Critical Damage;% Multishot;;
riven_1432903;Kuva Bramma;Deci-puracon;950;F;new;Very Common;% Status Duration;% Damage to Infested;% Damage to Grineer;% Ammo Maximum
riven_1425153;Kuva Bramma;Critado;1000;C+;> 1 day;Very Common;% Critical Chance;% Cold;;
riven_1427660;Kuva Bramma;Croni-hexatak;1050;F;> 1 day;Very Common;% Reload Speed;% Status Chance;% Fire Rate;% Weapon Recoil
riven_1427824;Kuva Bramma;Manti-critacan;1100;C;> 1 day;Very Common;% Multishot;% Damage to Corpus;% Critical Chance;% Projectile Speed
riven_1432757;Kuva Bramma;Acri-hexacron;1100;B;new;Very Common;% Critical Damage;% Critical Chance;% Status Chance;
riven_1424637;Kuva Bramma;Satitis;1200;B+;> 1 day;Very Common;% Critical Damage;% Multishot;;% Damage to Corpus
riven_1430458;Kuva Bramma;Acri-vexican;1200;C+;> 1 day;Very Common;% Electricity;% Critical Damage;% Multishot;% Status Duration
riven_1431547;Kuva Bramma;Satitox;1200;C-;> 1 day;Very Common;Toxin;% Multishot;;% Ammo Maximum
riven_1431954;Kuva Bramma;Acricron;1200;A;> 1 day;Very Common;% Critical Damage;% Critical Chance;;
riven_1433173;Kuva Bramma;Feva-acrican;1200;C;new;Very Common;% Critical Damage;% Multishot;% Reload Speed;% Magazine Capacity
riven_1424550;Kuva Bramma;Acri-satiada;1300;C;> 1 day;Very Common;% Multishot;% Critical Damage;% Damage to Infested;% Status Duration
riven_1430011;Kuva Bramma;Satitis;1300;B-;> 1 day;Very Common;% Critical Damage;% Multishot;;% Reload Speed
riven_1430432;Kuva Bramma;Critatis;1300;A;> 1 day;Very Common;% Critical Chance;% Critical Damage;;
riven_1429523;Kuva Bramma;Satitis;1500;B+;> 1 day;Very Common;% Critical Damage;% Multishot;;% Weapon Recoil
riven_1429524;Kuva Bramma;Satitis;1500;B+;> 1 day;Very Common;% Critical Damage;% Multishot;;% Weapon Recoil
riven_1427537;Kuva Bramma;Croni-critatis;1600;B-;> 1 day;Very Common;% Critical Damage;% Critical Chance;% Fire Rate;% Reload Speed
riven_1429753;Kuva Bramma;Sati-cronitis;1800;C+;> 1 day;Very Common;% Multishot;% Critical Damage;% Fire Rate;% Ammo Maximum
riven_1427642;Kuva Bramma;Acri-gelicron;1950;B;> 1 day;Very Common;% Cold;% Critical Damage;% Critical Chance;
riven_1424381;Kuva Bramma;Acrican;2000;B;> 1 day;Very Common;% Critical Damage;% Multishot;;% Ammo Maximum
riven_1427620;Kuva Bramma;Critacan;2000;B+;> 1 day;Very Common;% Critical Chance;% Multishot;;% Damage to Grineer
riven_1430166;Kuva Bramma;Critadex;2000;B-;> 1 day;Very Common;% Status Chance;% Critical Chance;;% Damage to Corpus
riven_1431621;Kuva Bramma;Critacan;2000;B;> 1 day;Very Common;% Critical Chance;% Multishot;;% Status Chance
riven_1432811;Kuva Bramma;Crita-satidex;2000;B-;new;Very Common;% Multishot;% Critical Chance;% Status Chance;% Status Duration
riven_1433207;Kuva Bramma;Acri-gelicron;2000;B;new;Very Common;% Critical Chance;% Critical Damage;% Cold;% Damage to Corpus
riven_1433217;Kuva Bramma;Crita-vexican;2000;C+;new;Very Common;% Electricity;% Critical Chance;% Multishot;% Damage to Grineer
riven_1430833;Kuva Bramma;Toxi-critatis;2400;B-;> 1 day;Very Common;% Critical Chance;% Critical Damage;Toxin;% Damage to Grineer
riven_1429889;Kuva Bramma;Crita-hexacan;2490;B+;> 1 day;Very Common;% Status Chance;% Critical Chance;% Multishot;% Impact
riven_1425773;Kuva Bramma;Crita-acrido;2500;B+;> 1 day;Very Common;% Critical Damage;% Cold;% Critical Chance;% Zoom
riven_1429896;Kuva Bramma;Critacan;2500;A;> 1 day;Very Common;% Critical Chance;% Multishot;;% Zoom
riven_1430353;Kuva Bramma;Acri-cronicron;2500;B-;> 1 day;Very Common;% Critical Chance;% Critical Damage;% Fire Rate;% Reload Speed
riven_1431926;Kuva Bramma;Saticron;2500;A-;> 1 day;Very Common;% Multishot;% Critical Chance;;% Damage to Infested
riven_1433248;Kuva Bramma;Crita-acrido;2500;B;new;Very Common;% Cold;% Critical Chance;% Critical Damage;% Damage to Corpus
