id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1426329;Lanka;Zetiata;70;D;> 1 day;Common;% Damage;% Weapon Recoil;;% Damage to Grineer
riven_1427333;Lanka;Geliada;100;F;> 1 day;Common;% Damage to Infested;% Cold;;
riven_1433058;Lanka;Visi-concitio;100;D;new;Common;% Projectile Speed;% Damage;% Electricity;
riven_1424785;Lanka;Arma-decitak;110;F;> 1 day;Common;% Magazine Capacity;% Reload Speed;% Status Duration;
riven_1432280;Lanka;Feva-conciada;110;F;new;Common;% Damage to Infested;% Projectile Speed;% Reload Speed;% Status Duration
riven_1429662;Lanka;Sati-acritio;115;D;> 1 day;Common;% Critical Damage;% Multishot;% Electricity;% Critical Chance
riven_1424567;Lanka;Ignicron;120;C-;> 1 day;Common;% Heat;% Critical Chance;;% Projectile Speed
riven_1427233;Lanka;Toxi-mantiada;120;F;> 1 day;Common;% Damage to Infested;% Damage to Corpus;Toxin;
riven_1426791;Lanka;Critatak;130;C;> 1 day;Common;% Critical Chance;% Reload Speed;;% Damage to Infested
riven_1427214;Lanka;Arma-acritak;140;D;> 1 day;Common;% Critical Damage;% Magazine Capacity;% Reload Speed;
riven_1424305;Lanka;Hexa-mantitak;150;F;> 1 day;Common;% Status Chance;% Reload Speed;% Damage to Corpus;
riven_1429985;Lanka;Cronidex;150;F;> 1 day;Common;% Fire Rate;% Status Chance;;% Damage
riven_1430501;Lanka;Puramag;150;F;> 1 day;Common;% Weapon Recoil;% Damage to Infested;;% Zoom
riven_1430525;Lanka;Critatak;150;C+;> 1 day;Common;% Critical Chance;% Reload Speed;;
riven_1430694;Lanka;Arma-mantido;150;F;> 1 day;Common;% Damage to Corpus;% Magazine Capacity;% Cold;
riven_1431849;Lanka;Ampi-mantitox;150;F;> 1 day;Common;% Ammo Maximum;Toxin;% Damage to Corpus;
riven_1433316;Lanka;Satitis;150;C+;new;Common;% Critical Damage;% Multishot;;% Magazine Capacity
riven_1431729;Lanka;Acriata;160;B;> 1 day;Common;% Critical Damage;% Damage;;
riven_1428443;Lanka;Igni-mantiata;170;D;> 1 day;Common;% Heat;% Damage to Corpus;% Damage;% Magazine Capacity
riven_1429097;Lanka;Igni-puraata;175;D;> 1 day;Common;% Damage to Infested;% Damage;% Heat;% Ammo Maximum
riven_1431638;Lanka;Toxitis;180;C-;> 1 day;Common;% Critical Damage;Toxin;;% Damage to Infested
riven_1424114;Lanka;Gelicron;200;C-;> 1 day;Common;% Critical Chance;% Cold;;% Reload Speed
riven_1427486;Lanka;Geli-zetibin;200;F;> 1 day;Common;% Ammo Maximum;% Weapon Recoil;% Cold;% Multishot
riven_1427488;Lanka;Pura-heranok;200;F;> 1 day;Common;Punch Through;% Zoom;% Damage to Infested;
riven_1430496;Lanka;Argimag;200;F;> 1 day;Common;% Weapon Recoil;% Damage to Grineer;;% Multishot
riven_1432134;Lanka;Visicron;220;A-;new;Common;% Damage;% Critical Chance;;
riven_1425790;Lanka;Concitis;225;D;> 1 day;Common;% Critical Damage;% Projectile Speed;;% Damage to Corpus
riven_1424593;Lanka;Feva-critadra;250;C-;> 1 day;Common;% Critical Chance;% Reload Speed;% Fire Rate;% Status Duration
riven_1432412;Lanka;Visitis;250;B;new;Common;% Damage;% Critical Damage;;
riven_1431031;Lanka;Cronicron;300;C;> 1 day;Common;% Critical Chance;% Fire Rate;;% Damage to Corpus
riven_1423519;Lanka;Sati-lexicon;300;D;> 1 day;Common;% Multishot;Punch Through;% Damage to Grineer;
riven_1426320;Lanka;Ampi-critacan;300;C+;> 1 day;Common;% Critical Chance;% Ammo Maximum;% Multishot;% Status Duration
riven_1426801;Lanka;Visi-ignicron;300;B;> 1 day;Common;% Damage;% Heat;% Critical Chance;
riven_1427865;Lanka;Vexi-saticron;300;B-;> 1 day;Common;% Electricity;% Critical Chance;% Multishot;
riven_1428825;Lanka;Critatis;300;A;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1430448;Lanka;Acri-decicron;300;C+;> 1 day;Common;% Critical Chance;% Critical Damage;% Status Duration;% Status Chance
riven_1423523;Lanka;Sati-visitak;350;D;> 1 day;Common;% Damage;% Multishot;% Reload Speed;% Status Chance
riven_1424847;Lanka;Hexacron;350;C+;> 1 day;Common;% Critical Chance;% Status Chance;;
riven_1432946;Lanka;Acritak;350;C-;new;Common;% Reload Speed;% Critical Damage;;
riven_1424904;Lanka;Arma-acricron;400;B+;> 1 day;Common;% Magazine Capacity;% Critical Damage;% Critical Chance;% Zoom
riven_1427594;Lanka;Critatis;400;A;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1428573;Lanka;Acri-vexican;450;C+;> 1 day;Common;% Critical Damage;% Electricity;% Multishot;
riven_1426160;Lanka;Critatis;500;A;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1429216;Lanka;Conci-acrican;500;D;> 1 day;Common;% Critical Damage;% Multishot;% Projectile Speed;% Fire Rate
riven_1429328;Lanka;Acricron;500;A;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1430796;Lanka;Feva-acrinak;500;D;> 1 day;Common;% Reload Speed;% Projectile Speed;% Critical Damage;% Fire Rate
riven_1432078;Lanka;Crita-visido;500;B-;new;Common;% Cold;% Critical Chance;% Damage;
riven_1424156;Lanka;Ampi-critacon;600;D;> 1 day;Common;% Ammo Maximum;% Critical Chance;% Damage to Grineer;% Magazine Capacity
riven_1424818;Lanka;Sati-visitis;600;B;> 1 day;Common;% Damage;% Multishot;% Critical Damage;
riven_1425646;Lanka;Acri-satidex;600;C-;> 1 day;Common;% Status Chance;% Critical Damage;% Multishot;% Weapon Recoil
riven_1426556;Lanka;Igni-critadex;600;C-;> 1 day;Common;% Heat;% Critical Chance;% Status Chance;% Status Duration
riven_1429007;Lanka;Critatio;650;B-;> 1 day;Common;% Critical Chance;% Electricity;;
riven_1431715;Lanka;Critatis;650;B;> 1 day;Common;% Critical Damage;% Critical Chance;;% Reload Speed
riven_1428849;Lanka;Saticron;700;A-;> 1 day;Common;% Multishot;% Critical Chance;;% Zoom
riven_1432357;Lanka;Saticron;700;B;new;Common;% Multishot;% Critical Chance;;% Damage to Grineer
riven_1426096;Lanka;Visicron;800;D;> 1 day;Common;% Critical Chance;% Damage;;% Critical Damage
riven_1426754;Lanka;Visi-vexican;800;C;> 1 day;Common;% Multishot;% Electricity;% Damage;
riven_1432709;Lanka;Satiata;800;B-;new;Common;% Damage;% Multishot;;% Zoom
riven_1428205;Lanka;Acricron;900;B-;> 1 day;Common;% Critical Chance;% Critical Damage;;% Fire Rate
riven_1428933;Lanka;Crita-hexaata;900;B-;> 1 day;Common;% Damage;% Status Chance;% Critical Chance;
riven_1427237;Lanka;Toxi-critatis;1000;B-;> 1 day;Common;% Critical Chance;Toxin;% Critical Damage;% Magazine Capacity
riven_1426860;Lanka;Visi-satitio;1200;C+;> 1 day;Common;% Multishot;% Damage;% Electricity;% Zoom
riven_1428185;Lanka;Igni-acricron;1500;A-;> 1 day;Common;% Heat;% Critical Damage;% Critical Chance;% Zoom
riven_1426687;Lanka;Crita-acritin;1800;B+;> 1 day;Common;% Magazine Capacity;% Critical Damage;% Critical Chance;% Zoom
riven_1423647;Lanka;Sati-acricron;2500;B+;> 1 day;Common;% Multishot;% Critical Damage;% Critical Chance;% Damage to Infested
riven_1424696;Lanka;Acri-critacan;3000;B;> 1 day;Common;% Critical Chance;% Critical Damage;% Multishot;% Status Chance
riven_1425652;Lanka;Crita-satitis;3000;B;> 1 day;Common;% Multishot;% Critical Chance;% Critical Damage;% Status Chance
riven_1427211;Lanka;Acri-visican;3950;B-;> 1 day;Common;% Damage;% Critical Damage;% Multishot;% Status Chance
riven_1432090;Lanka;Acri-satiata;4500;B-;new;Common;% Critical Damage;% Multishot;% Damage;% Weapon Recoil
riven_1424526;Lanka;Sati-acriata;4688;B-;> 1 day;Common;% Damage;% Multishot;% Critical Damage;% Status Chance
riven_1429558;Lanka;Satitis;5000;B+;> 1 day;Common;% Critical Damage;% Multishot;;% Zoom
riven_1428544;Lanka;Crita-toxican;9000;B;> 1 day;Common;% Critical Chance;Toxin;% Multishot;% Zoom

