id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1425180;Nukor;Acri-zeticron;300;C-;> 1 day;Common;% Critical Chance;% Critical Damage;% Weapon Recoil;% Status Duration
riven_1430512;Nukor;Hexa-satiada;320;D;> 1 day;Common;% Status Chance;% Multishot;% Damage to Infested;
riven_1430857;Nukor;Ampiata;325;C-;> 1 day;Common;% Damage;% Ammo Maximum;;
riven_1429334;Nukor;Sati-ignides;335;D;> 1 day;Common;% Status Duration;% Heat;% Multishot;
riven_1426786;Nukor;Visi-fevacron;350;C-;> 1 day;Common;% Damage;% Critical Chance;% Reload Speed;% Status Chance
riven_1430739;Nukor;Visitron;350;C+;> 1 day;Common;% Damage;% Damage to Corpus;;% Weapon Recoil
riven_1432260;Nukor;Hexa-mantiata;350;C-;new;Common;% Status Chance;% Damage to Corpus;% Damage;
riven_1432790;Nukor;Visibin;350;C-;new;Common;% Ammo Maximum;% Damage;;% Status Duration
riven_1432978;Nukor;Ignimag;350;F;new;Common;% Heat;% Weapon Recoil;;
riven_1433079;Nukor;Argi-hexapha;350;F;new;Common;% Status Chance;% Damage to Grineer;% Heat;
riven_1433271;Nukor;Cronido;350;F;new;Common;% Fire Rate;% Cold;;% Damage to Corpus
riven_1424481;Nukor;Armalis;400;F;> 1 day;Common;% Zoom;% Magazine Capacity;;
riven_1426336;Nukor;Vexi-lexiata;400;D;> 1 day;Common;% Damage;Punch Through;% Electricity;
riven_1431163;Nukor;Vexican;425;D;> 1 day;Common;% Multishot;% Electricity;;% Damage to Grineer
riven_1430672;Nukor;Hexa-argiata;450;C+;> 1 day;Common;% Damage to Grineer;% Damage;% Status Chance;% Damage to Infested
riven_1430831;Nukor;Visi-mantitin;450;D;> 1 day;Common;% Magazine Capacity;% Damage;% Damage to Corpus;% Multishot
riven_1431231;Nukor;Deci-toxican;450;D;> 1 day;Common;% Multishot;Toxin;% Status Duration;
riven_1432608;Nukor;Visido;450;B-;new;Common;% Damage;% Cold;;% Damage to Infested
riven_1431819;Nukor;Crita-visipha;460;B-;> 1 day;Common;% Damage;% Critical Chance;% Heat;% Damage to Corpus
riven_1428807;Nukor;Saticron;477;B+;> 1 day;Common;% Critical Chance;% Multishot;;% Weapon Recoil
riven_1431525;Nukor;Satipha;480;D;> 1 day;Common;% Multishot;% Heat;;
riven_1424142;Nukor;Hexa-gelipha;500;F;> 1 day;Common;% Heat;% Status Chance;% Cold;
riven_1425775;Nukor;Visi-critado;500;C+;> 1 day;Common;% Critical Chance;% Damage;% Cold;
riven_1425891;Nukor;Igni-fevacan;500;D;> 1 day;Common;% Multishot;% Heat;% Reload Speed;% Damage to Corpus
riven_1429589;Nukor;Manti-acricron;500;C;> 1 day;Common;% Critical Damage;% Critical Chance;% Damage to Corpus;% Reload Speed
riven_1430173;Nukor;Visi-lexitis;500;C;> 1 day;Common;% Damage;Punch Through;% Critical Damage;
riven_1432774;Nukor;Visi-toxicon;500;C-;new;Common;% Damage;% Damage to Grineer;Toxin;% Damage to Corpus
riven_1432824;Nukor;Vexi-critades;500;D;new;Common;% Critical Chance;% Electricity;% Status Duration;% Weapon Recoil
riven_1427785;Nukor;Arma-visican;550;B+;> 1 day;Common;% Magazine Capacity;% Multishot;% Damage;% Damage to Infested
riven_1429089;Nukor;Acri-armacron;550;C+;> 1 day;Common;% Magazine Capacity;% Critical Chance;% Critical Damage;% Weapon Recoil
riven_1430420;Nukor;Vexi-satidex;600;D;> 1 day;Common;% Status Chance;% Electricity;% Multishot;% Damage to Grineer
riven_1430424;Nukor;Igni-hexanok;600;F;> 1 day;Common;% Status Chance;Punch Through;% Heat;
riven_1431416;Nukor;Satitis;600;C+;> 1 day;Common;% Critical Damage;% Multishot;;
riven_1431864;Nukor;Satidex;600;C-;> 1 day;Common;% Multishot;% Status Chance;;% Reload Speed
