id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1432770;Rubico;Heracron;250;C;new;Very Common;% Critical Chance;% Zoom;;
riven_1431871;Rubico;Vexi-satilis;340;D;> 1 day;Very Common;% Electricity;% Multishot;% Zoom;% Reload Speed
riven_1425428;Rubico;Vexi-satitin;350;D;> 1 day;Very Common;% Magazine Capacity;% Electricity;% Multishot;
riven_1427989;Rubico;Gelinok;350;F;> 1 day;Very Common;% Cold;Punch Through;;
riven_1432888;Rubico;Toxi-decitron;350;F;new;Very Common;% Damage to Corpus;Toxin;% Status Duration;
riven_1432907;Rubico;Magna-heraada;350;F;new;Very Common;% Damage to Infested;% Impact;% Zoom;% Damage to Corpus
riven_1425383;Rubico;Toxi-armacan;380;D;> 1 day;Very Common;Toxin;% Magazine Capacity;% Multishot;
riven_1431507;Rubico;Zeti-mantidex;390;F;> 1 day;Very Common;% Status Chance;% Weapon Recoil;% Damage to Corpus;% Damage to Grineer
riven_1431509;Rubico;Mantiada;390;F;> 1 day;Very Common;% Damage to Corpus;% Damage to Infested;;% Reload Speed
riven_1429519;Rubico;Puratron;399;F;> 1 day;Very Common;% Damage to Corpus;% Damage to Infested;;% Weapon Recoil
riven_1427625;Rubico;Sati-critadra;400;B-;> 1 day;Very Common;% Fire Rate;% Critical Chance;% Multishot;
riven_1428222;Rubico;Armacon;400;F;> 1 day;Very Common;% Damage to Grineer;% Magazine Capacity;;
riven_1429294;Rubico;Toxipha;400;F;> 1 day;Very Common;Toxin;% Heat;;% Impact
riven_1430876;Rubico;Crita-visidex;400;B-;> 1 day;Very Common;% Damage;% Critical Chance;% Status Chance;
riven_1431559;Rubico;Visitis;400;B-;> 1 day;Very Common;% Critical Damage;% Damage;;
riven_1427764;Rubico;Geli-vexipha;445;F;> 1 day;Very Common;% Cold;% Electricity;% Heat;
riven_1423834;Rubico;Feva-magnatox;450;F;> 1 day;Very Common;% Reload Speed;Toxin;% Impact;
riven_1428121;Rubico;Fevaata;450;D;> 1 day;Very Common;% Reload Speed;% Damage;;% Ammo Maximum
riven_1428639;Rubico;Vexiton;450;F;> 1 day;Very Common;% Impact;% Electricity;;
riven_1424952;Rubico;Fevacron;500;C+;> 1 day;Very Common;% Critical Chance;% Reload Speed;;% Damage to Infested
riven_1427759;Rubico;Sati-armacron;500;C;> 1 day;Very Common;% Multishot;% Magazine Capacity;% Critical Chance;% Status Duration
riven_1431027;Rubico;Acri-satitox;525;C-;> 1 day;Very Common;% Critical Damage;% Multishot;Toxin;% Status Duration
riven_1425601;Rubico;Visiada;540;D;> 1 day;Very Common;% Damage;% Damage to Infested;;
riven_1431112;Rubico;Acrican;550;C+;> 1 day;Very Common;% Critical Damage;% Multishot;;% Status Duration
riven_1429609;Rubico;Acritio;599;D;> 1 day;Very Common;% Electricity;% Critical Damage;;% Damage to Corpus
riven_1431147;Rubico;Crita-magnacan;599;B-;> 1 day;Very Common;% Critical Chance;% Multishot;% Impact;
riven_1426566;Rubico;Sati-ignides;600;D;> 1 day;Very Common;% Multishot;% Heat;% Status Duration;
riven_1432402;Rubico;Acrican;650;C+;new;Very Common;% Critical Damage;% Multishot;;% Damage to Corpus
riven_1426103;Rubico;Satitis;699;B-;> 1 day;Very Common;% Multishot;% Critical Damage;;
riven_1427944;Rubico;Toxitio;699;F;> 1 day;Very Common;% Electricity;Toxin;;% Zoom
riven_1427948;Rubico;Deci-acricron;700;C+;> 1 day;Very Common;% Status Duration;% Critical Chance;% Critical Damage;% Reload Speed
riven_1428698;Rubico;Critaata;750;A-;> 1 day;Very Common;% Damage;% Critical Chance;;
riven_1429136;Rubico;Visitio;750;D;> 1 day;Very Common;% Damage;% Electricity;;% Reload Speed
riven_1430045;Rubico;Visicron;750;A-;> 1 day;Very Common;% Damage;% Critical Chance;;% Ammo Maximum
riven_1430788;Rubico;Sati-vexicron;750;B-;> 1 day;Very Common;% Multishot;% Electricity;% Critical Chance;
riven_1433547;Rubico;Acri-lexicron;750;B;new;Very Common;% Critical Damage;% Critical Chance;Punch Through;
riven_1424807;Rubico;Crita-satitron;799;C;> 1 day;Very Common;% Multishot;% Critical Chance;% Damage to Corpus;% Magazine Capacity
riven_1424492;Rubico;Vexiata;800;D;> 1 day;Very Common;% Electricity;% Damage;;% Status Duration
riven_1428123;Rubico;Magna-acriata;800;C;> 1 day;Very Common;% Impact;% Damage;% Critical Damage;% Damage to Infested
riven_1428746;Rubico;Hexa-critaata;800;C;> 1 day;Very Common;% Critical Chance;% Status Chance;% Damage;% Reload Speed
riven_1429122;Rubico;Pura-acriata;800;C-;> 1 day;Very Common;% Critical Damage;% Damage;% Damage to Infested;% Damage to Corpus
