id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1425517;Sepfahn;Gelides;75;F;> 1 day;Common;% Status Duration;% Cold;;
riven_1428662;Sepfahn;Deci-scinus;100;F;> 1 day;Common;% Slash;% Additional Combo Count Chance;% Status Duration;% Chance to Gain Combo Count
riven_1424537;Sepfahn;Geli-tempium;120;F;> 1 day;Common;Combo Duration;Initial Combo;% Cold;% Damage to Infested
riven_1428126;Sepfahn;Critacta;120;C;> 1 day;Common;% Critical Chance;% Finisher Damage;;% Puncture
riven_1431065;Sepfahn;Critatia;120;D;> 1 day;Common;% Channeling Efficiency;% Critical Chance;;
riven_1432115;Sepfahn;Vexi-loctiata;120;F;> 1 day;Common;Range;% Electricity;% Damage;
riven_1427398;Sepfahn;Insi-toxinem;150;F;> 1 day;Common;Toxin;Combo Duration;% Puncture;
riven_1430977;Sepfahn;Vexi-croniata;249;F;> 1 day;Common;% Damage;% Attack Speed;% Electricity;% Damage to Corpus
riven_1428688;Sepfahn;Geli-toxiata;300;F;> 1 day;Common;Toxin;% Damage;% Cold;% Status Duration
riven_1430076;Sepfahn;Forti-loctidra;300;D;> 1 day;Common;% Attack Speed;Range;% Melee Combo Efficiency;% Puncture
