id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1424565;Vectis;Insi-hexacron;150;C-;> 1 day;Common;% Critical Chance;% Puncture;% Status Chance;
riven_1428334;Vectis;Vexipha;150;F;> 1 day;Common;% Electricity;% Heat;;
riven_1429285;Vectis;Critado;150;C;> 1 day;Common;% Critical Chance;% Cold;;% Ammo Maximum
riven_1430947;Vectis;Crita-satipha;199;B-;> 1 day;Common;% Multishot;% Critical Chance;% Heat;
riven_1430953;Vectis;Crita-ignicon;199;D;> 1 day;Common;% Damage to Grineer;% Heat;% Critical Chance;% Damage to Infested
riven_1424095;Vectis;Critaton;200;C-;> 1 day;Common;% Impact;% Critical Chance;;% Status Duration
riven_1424175;Vectis;Acri-satidex;200;C;> 1 day;Common;% Critical Damage;% Status Chance;% Multishot;
riven_1426553;Vectis;Crita-vexitox;200;C-;> 1 day;Common;% Electricity;Toxin;% Critical Chance;
riven_1431164;Vectis;Gelican;200;D;> 1 day;Common;% Cold;% Multishot;;% Zoom
riven_1428094;Vectis;Visinok;215;D;> 1 day;Common;% Damage;Punch Through;;
riven_1432404;Vectis;Acripha;220;C-;new;Common;% Heat;% Critical Damage;;
riven_1425025;Vectis;Scitron;250;F;> 1 day;Common;% Slash;% Damage to Corpus;;
riven_1426877;Vectis;Fevacan;250;D;> 1 day;Common;% Reload Speed;% Multishot;;% Puncture
riven_1427332;Vectis;Visitron;250;F;> 1 day;Common;% Damage;% Damage to Corpus;;% Multishot
riven_1431109;Vectis;Satitis;250;B-;> 1 day;Common;% Multishot;% Critical Damage;;
riven_1431795;Vectis;Vexi-saticon;250;D;> 1 day;Common;% Multishot;% Electricity;% Damage to Grineer;
riven_1423684;Vectis;Critatak;260;C;> 1 day;Common;% Reload Speed;% Critical Chance;;% Ammo Maximum
riven_1429719;Vectis;Acriata;300;B-;> 1 day;Common;% Damage;% Critical Damage;;% Fire Rate
riven_1431545;Vectis;Pura-acricron;300;C;> 1 day;Common;% Critical Chance;% Damage to Infested;% Critical Damage;% Status Chance
riven_1427941;Vectis;Sci-critades;350;D;> 1 day;Common;% Slash;% Critical Chance;% Status Duration;
riven_1428891;Vectis;Visidex;350;F;> 1 day;Common;% Status Chance;% Damage;;% Critical Damage
riven_1427440;Vectis;Manti-critatis;360;B-;> 1 day;Common;% Damage to Corpus;% Critical Damage;% Critical Chance;% Ammo Maximum
riven_1425171;Vectis;Visican;400;C+;> 1 day;Common;% Multishot;% Damage;;
riven_1425361;Vectis;Critapha;400;B-;> 1 day;Common;% Critical Chance;% Heat;;% Zoom
riven_1427038;Vectis;Crita-scitis;400;B-;> 1 day;Common;% Critical Damage;% Slash;% Critical Chance;% Weapon Recoil
riven_1431439;Vectis;Hexa-gelicak;400;F;> 1 day;Common;% Status Chance;% Cold;% Puncture;% Magazine Capacity
riven_1431487;Vectis;Visitox;400;D;> 1 day;Common;% Damage;Toxin;;
riven_1431826;Vectis;Hera-acricron;400;B-;> 1 day;Common;% Critical Damage;% Critical Chance;% Zoom;
riven_1432772;Vectis;Crita-ignidra;400;C-;new;Common;% Critical Chance;% Fire Rate;% Heat;
riven_1433116;Vectis;Crita-purado;400;D;new;Common;% Critical Chance;% Cold;% Damage to Infested;% Slash
riven_1426610;Vectis;Feva-satiata;500;D;> 1 day;Common;% Reload Speed;% Damage;% Multishot;% Critical Damage
riven_1427012;Vectis;Argitis;500;D;> 1 day;Common;% Damage to Grineer;% Critical Damage;;% Weapon Recoil
riven_1427890;Vectis;Magna-lexidra;500;F;> 1 day;Common;% Impact;% Fire Rate;Punch Through;% Weapon Recoil
riven_1428055;Vectis;Vexicron;500;C-;> 1 day;Common;% Critical Chance;% Electricity;;% Status Chance
riven_1430533;Vectis;Crita-acricon;500;B-;> 1 day;Common;% Critical Chance;% Critical Damage;% Damage to Grineer;
riven_1432032;Vectis;Satiata;500;C+;new;Common;% Damage;% Multishot;;% Fire Rate
riven_1432212;Vectis;Critadex;500;B;new;Common;% Status Chance;% Critical Chance;;% Magazine Capacity
riven_1433127;Vectis;Satitis;500;B-;new;Common;% Critical Damage;% Multishot;;% Zoom
riven_1433181;Vectis;Satitis;500;C+;new;Common;% Multishot;% Critical Damage;;% Damage to Corpus
riven_1433208;Vectis;Critacan;500;B-;new;Common;% Critical Chance;% Multishot;;% Status Duration
riven_1433198;Vectis;Visitio;525;C;new;Common;% Damage;% Electricity;;% Magazine Capacity
riven_1425578;Vectis;Acriata;550;B-;> 1 day;Common;% Critical Damage;% Damage;;% Impact
riven_1430532;Vectis;Saticron;600;B+;> 1 day;Common;% Critical Chance;% Multishot;;% Ammo Maximum
riven_1432355;Vectis;Hexa-visicron;600;B-;new;Common;% Damage;% Status Chance;% Critical Chance;% Ammo Maximum
riven_1432731;Vectis;Crita-magnatis;600;C+;new;Common;% Critical Damage;% Critical Chance;% Impact;% Fire Rate
riven_1425698;Vectis;Sati-critaton;650;C+;> 1 day;Common;% Critical Chance;% Impact;% Multishot;% Fire Rate
riven_1431602;Vectis;Feva-critacan;670;C;> 1 day;Common;% Multishot;% Critical Chance;% Reload Speed;% Slash
riven_1433205;Vectis;Acri-vexicron;688;B-;new;Common;% Critical Chance;% Electricity;% Critical Damage;
riven_1424658;Vectis;Insi-visitak;700;D;> 1 day;Common;% Damage;% Reload Speed;% Puncture;% Magazine Capacity
riven_1425541;Vectis;Critatis;700;A-;> 1 day;Common;% Critical Chance;% Critical Damage;;
riven_1426234;Vectis;Ampi-critaata;700;C+;> 1 day;Common;% Critical Chance;% Ammo Maximum;% Damage;% Damage to Infested
riven_1429551;Vectis;Sati-vexiata;700;C;> 1 day;Common;% Multishot;% Electricity;% Damage;% Weapon Recoil
riven_1432662;Vectis;Visicron;700;A;new;Common;% Critical Chance;% Damage;;% Zoom
riven_1424400;Vectis;Insi-saticron;750;C+;> 1 day;Common;% Puncture;% Critical Chance;% Multishot;
riven_1424751;Vectis;Visi-decican;750;C-;> 1 day;Common;% Multishot;% Damage;% Status Duration;% Impact
riven_1425493;Vectis;Critaata;800;B+;> 1 day;Common;% Critical Chance;% Damage;;% Puncture
riven_1428879;Vectis;Critaata;800;B-;> 1 day;Common;% Critical Chance;% Damage;;% Status Chance
riven_1429987;Vectis;Manti-hexatis;800;D;> 1 day;Common;% Damage to Corpus;% Status Chance;% Critical Damage;% Ammo Maximum
riven_1431360;Vectis;Satiata;800;C+;> 1 day;Common;% Damage;% Multishot;;
riven_1431444;Vectis;Insi-saticron;800;C+;> 1 day;Common;% Critical Chance;% Multishot;% Puncture;% Weapon Recoil
