id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1424170;Kuva Bramma;Crita-visiada;800;C;> 1 day;Very Common;% Damage to Infested;% Critical Chance;% Damage;% Status Chance
riven_1430266;Kuva Bramma;Armacron;800;C;new;Very Common;% Critical Chance;% Magazine Capacity;;
riven_1430285;Kuva Bramma;Croni-satitio;800;D;new;Very Common;% Electricity;% Fire Rate;% Multishot;% Projectile Speed
riven_1421651;Kuva Bramma;Magna-visitio;850;D;> 1 day;Very Common;% Impact;% Electricity;% Damage;
riven_1425208;Kuva Bramma;Geli-toxiata;850;D;> 1 day;Very Common;% Damage;Toxin;% Cold;
riven_1428665;Kuva Bramma;Acriata;850;A-;new;Very Common;% Damage;% Critical Damage;;% Impact
riven_1426681;Kuva Bramma;Acridex;900;C-;> 1 day;Very Common;% Critical Damage;% Status Chance;;
riven_1430241;Kuva Bramma;Critaata;900;A-;new;Very Common;% Damage;% Critical Chance;;
riven_1430297;Kuva Bramma;Crita-armatis;900;B-;new;Very Common;% Critical Chance;% Critical Damage;% Magazine Capacity;% Ammo Maximum
riven_1429073;Kuva Bramma;Crita-herado;925;D;new;Very Common;% Zoom;% Cold;% Critical Chance;% Damage to Infested
riven_1424683;Kuva Bramma;Critapha;950;B-;> 1 day;Very Common;% Heat;% Critical Chance;;% Weapon Recoil
riven_1427259;Kuva Bramma;Cronicron;950;C+;> 1 day;Very Common;% Fire Rate;% Critical Chance;;% Damage to Corpus
riven_1430006;Kuva Bramma;Acrican;975;B;new;Very Common;% Critical Damage;% Multishot;;
riven_1425153;Kuva Bramma;Critado;1000;C+;> 1 day;Very Common;% Critical Chance;% Cold;;
riven_1425422;Kuva Bramma;Sati-heraata;1000;C;> 1 day;Very Common;% Damage;% Zoom;% Multishot;
riven_1426768;Kuva Bramma;Crita-igniata;1000;B-;> 1 day;Very Common;% Damage;% Critical Chance;% Heat;
riven_1427690;Kuva Bramma;Visitis;1000;B;> 1 day;Very Common;% Damage;% Critical Damage;;% Status Duration
riven_1429593;Kuva Bramma;Visicron;1000;A-;new;Very Common;% Critical Chance;% Damage;;
riven_1429795;Kuva Bramma;Croniada;1000;F;new;Very Common;% Fire Rate;% Damage to Infested;;
riven_1425987;Kuva Bramma;Acriata;1050;B+;> 1 day;Very Common;% Damage;% Critical Damage;;% Damage to Corpus
riven_1427660;Kuva Bramma;Croni-hexatak;1050;F;> 1 day;Very Common;% Reload Speed;% Status Chance;% Fire Rate;% Weapon Recoil
riven_1422250;Kuva Bramma;Deci-fevaada;1099;F;> 1 day;Very Common;% Status Duration;% Reload Speed;% Damage to Infested;% Weapon Recoil
riven_1423334;Kuva Bramma;Igni-critaata;1100;C+;> 1 day;Very Common;% Heat;% Critical Chance;% Damage;% Status Chance
riven_1427824;Kuva Bramma;Manti-critacan;1100;C;> 1 day;Very Common;% Multishot;% Damage to Corpus;% Critical Chance;% Projectile Speed
riven_1429709;Kuva Bramma;Toxi-visican;1100;C+;new;Very Common;% Multishot;% Damage;Toxin;
riven_1429936;Kuva Bramma;Zeti-visitis;1100;C-;new;Very Common;% Damage;% Critical Damage;% Weapon Recoil;% Status Chance
riven_1429015;Kuva Bramma;Critaata;1199;A-;new;Very Common;% Critical Chance;% Damage;;
riven_1430066;Kuva Bramma;Visicron;1199;A-;new;Very Common;% Critical Chance;% Damage;;
riven_1421920;Kuva Bramma;Arma-visitis;1200;C;> 1 day;Very Common;% Magazine Capacity;% Critical Damage;% Damage;
riven_1422656;Kuva Bramma;Acrican;1200;B-;> 1 day;Very Common;% Multishot;% Critical Damage;;% Damage to Grineer
riven_1423511;Kuva Bramma;Sati-visitron;1200;C-;> 1 day;Very Common;% Damage to Corpus;% Damage;% Multishot;% Status Chance
riven_1424637;Kuva Bramma;Satitis;1200;B+;> 1 day;Very Common;% Critical Damage;% Multishot;;% Damage to Corpus
riven_1427419;Kuva Bramma;Acriata;1200;B;> 1 day;Very Common;% Critical Damage;% Damage;;
