id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1427340;Kohm;Visi-ignides;250;D;new;Very Common;% Damage;% Heat;% Status Duration;
riven_1426780;Kohm;Visi-vexicon;320;D;new;Very Common;% Damage;% Electricity;% Damage to Grineer;
riven_1426781;Kohm;Visi-vexicon;320;D;new;Very Common;% Damage;% Electricity;% Damage to Grineer;
riven_1427117;Kohm;Fevadra;320;F;new;Very Common;% Reload Speed;% Fire Rate;;% Multishot
riven_1423576;Kohm;Igni-visinak;379;D;> 1 day;Very Common;% Heat;% Projectile Speed;% Damage;
riven_1427004;Kohm;Hexa-visitak;400;D;new;Very Common;% Damage;% Status Chance;% Reload Speed;% Fire Rate
riven_1425689;Kohm;Visi-toxido;450;D;> 1 day;Very Common;% Damage;% Cold;% Toxin;
riven_1426145;Kohm;Argi-croniata;450;C-;> 1 day;Very Common;% Fire Rate;% Damage to Grineer;% Damage;% Weapon Recoil
riven_1426074;Kohm;Acri-saticon;480;D;> 1 day;Very Common;% Multishot;% Critical Damage;% Damage to Grineer;
riven_1423403;Kohm;Manti-puracon;550;F;> 1 day;Very Common;% Damage to Corpus;% Damage to Grineer;% Damage to Infested;% Status Chance
riven_1426805;Kohm;Sati-acritox;600;C+;new;Very Common;% Critical Damage;% Multishot;% Toxin;% Damage to Infested
riven_1427228;Kohm;Hexa-croniata;600;C;new;Very Common;% Damage;% Status Chance;% Fire Rate;
riven_1424594;Kohm;Acri-critacan;688;C;> 1 day;Very Common;% Multishot;% Critical Chance;% Critical Damage;% Status Duration
riven_1405979;Kohm;Visi-decido;700;D;> 1 week;Very Common;% Cold;% Damage;% Status Duration;% Magazine Capacity
riven_1425547;Kohm;Satiata;700;A;> 1 day;Very Common;% Multishot;% Damage;;% Reload Speed
riven_1427445;Kohm;Satiata;700;C-;new;Very Common;% Damage;% Multishot;;% Status Chance
riven_1413559;Kohm;Sati-visinak;800;D;> 1 week;Very Common;% Projectile Speed;% Multishot;% Damage;% Status Chance
riven_1426738;Kohm;Ampi-satidex;800;C;new;Very Common;% Status Chance;% Ammo Maximum;% Multishot;
riven_1427253;Kohm;Visidra;999;C;new;Very Common;% Damage;% Fire Rate;;% Damage to Grineer
riven_1413974;Kohm;Hexacan;1000;A;> 1 week;Very Common;% Multishot;% Status Chance;;% Weapon Recoil
riven_1415247;Kohm;Sati-geliata;1000;C-;> 1 week;Very Common;% Damage;% Multishot;% Cold;% Critical Damage
riven_1425837;Kohm;Vexiata;1000;C;> 1 day;Very Common;% Damage;% Electricity;;% Reload Speed
riven_1425364;Kohm;Croni-saticron;1200;C+;> 1 day;Very Common;% Fire Rate;% Multishot;% Critical Chance;% Reload Speed
riven_1419772;Kohm;Croni-hexado;1500;C-;> 1 day;Very Common;% Cold;% Status Chance;% Fire Rate;% Slash
riven_1417583;Kohm;Croni-toxiata;1660;C;> 1 week;Very Common;% Fire Rate;% Damage;% Toxin;% Weapon Recoil
riven_1419638;Kohm;Sati-visidex;1680;A-;> 1 day;Very Common;% Status Chance;% Damage;% Multishot;% Magazine Capacity
riven_1418844;Kohm;Croni-visitox;1800;C;> 1 day;Very Common;% Fire Rate;% Damage;% Toxin;% Weapon Recoil
riven_1426083;Kohm;Sati-ignidra;2000;D;> 1 day;Very Common;% Multishot;% Fire Rate;% Heat;
riven_1427131;Kohm;Sati-visitis;3500;B+;new;Very Common;% Multishot;% Damage;% Critical Damage;% Slash
riven_1406268;Kohm;Visi-hexacan;3999;Buff Popularity;> 1 week;Very Common;% Status Chance;% Damage;% Multishot;% Ammo Maximum
riven_1424510;Kohm;Croni-visican;4288;C-;> 1 day;Very Common;% Fire Rate;% Damage;% Multishot;% Critical Damage
riven_1416812;Kohm;Visi-cronican;4850;C-;> 1 week;Very Common;% Damage;% Multishot;% Fire Rate;% Critical Damage
riven_1405937;Kohm;Croni-visican;5000;C+;> 1 week;Very Common;% Damage;% Fire Rate;% Multishot;% Projectile Speed
riven_1426059;Kohm;Visi-saticron;5000;A;> 1 day;Very Common;% Critical Chance;% Damage;% Multishot;% Damage to Infested
riven_1425749;Kohm;Croni-visican;7000;B+;> 1 day;Very Common;% Multishot;% Fire Rate;% Damage;% Damage to Corpus
riven_1418052;Kohm;Sati-visidra;9500;C+;> 1 week;Very Common;% Fire Rate;% Damage;% Multishot;% Projectile Speed
riven_1425856;Kohm;Croni-saticron;10000;B-;> 1 day;Very Common;% Critical Chance;% Multishot;% Fire Rate;% Damage to Corpus

